target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
A,30,1,0,14,0,47,0,31,0,0,27,0,0,4,12,0,0,0,0,0,39,0,0,0,584,0
B,59,115,0,106,0,6,5,80,0,0,0,0,0,0,0,144,1,0,91,0,61,98,0,0,0,0
C,23,27,1,0,115,0,0,47,0,0,27,0,0,0,0,17,4,0,0,3,26,98,89,259,0,0
D,33,159,1,145,0,39,0,60,0,0,7,0,0,0,0,134,10,0,110,0,55,47,4,0,1,0
E,26,39,0,66,34,0,40,88,0,0,0,0,0,0,0,29,0,0,85,0,24,96,75,166,0,0
F,22,2,225,38,7,0,0,55,0,0,16,6,0,8,0,3,116,0,17,219,19,0,22,0,0,0
G,59,147,0,7,18,2,6,73,0,0,9,0,0,0,0,165,1,0,0,0,36,164,9,73,4,0
H,35,57,0,63,23,39,0,51,0,0,19,0,0,16,0,55,0,160,67,0,49,48,49,0,3,0
I,3,0,0,59,0,50,12,37,0,0,0,160,236,0,0,2,11,0,84,0,31,57,7,6,0,0
J,5,18,0,46,2,30,0,60,0,0,3,221,5,0,175,6,27,0,133,0,11,0,4,0,1,0
K,53,67,0,76,66,35,0,35,0,0,6,0,0,19,0,117,0,0,38,0,44,57,111,14,1,0
L,14,14,0,56,0,0,0,57,325,0,0,1,207,0,2,22,0,0,2,0,44,0,7,3,7,0
M,144,3,0,25,11,78,0,8,0,0,232,0,0,66,1,3,0,163,9,0,24,0,4,0,21,0
N,37,40,1,60,12,91,0,13,0,0,170,0,0,106,0,10,0,171,43,6,14,0,4,0,0,5
O,33,270,0,14,1,107,0,6,0,0,13,0,0,5,0,239,4,0,0,0,31,23,2,0,5,0
P,45,26,185,30,0,32,0,29,0,0,13,2,0,1,0,17,355,0,19,9,37,0,3,0,0,0
Q,56,144,0,40,0,101,2,129,0,2,5,0,0,0,0,214,0,0,0,0,52,28,0,0,9,1
R,51,118,0,109,0,46,0,57,0,0,11,0,0,0,0,176,0,0,70,0,61,59,0,0,0,0
S,31,29,0,98,14,0,157,82,0,0,0,3,0,0,0,43,9,0,83,2,47,80,54,0,16,0
T,19,27,107,1,0,0,6,41,0,225,4,0,0,0,0,11,16,0,0,141,12,0,66,0,0,120
U,42,61,0,0,200,53,0,6,0,6,54,0,0,31,0,24,0,169,0,14,17,9,111,0,0,16
V,35,0,10,0,0,0,0,21,0,253,20,0,0,85,0,1,15,0,0,155,0,0,0,0,0,169
W,81,1,2,0,0,43,0,2,0,0,261,0,0,250,0,1,0,0,0,21,0,0,0,0,0,90
X,19,33,0,74,34,24,90,97,0,0,0,1,1,1,0,117,0,0,69,0,27,95,105,0,0,0
Y,44,5,59,1,1,0,0,90,0,202,7,0,0,28,0,1,13,0,0,147,7,0,38,0,0,143
Z,6,1,0,76,5,0,286,69,0,0,0,0,0,0,0,4,2,0,88,0,21,105,65,0,6,0
