target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
A,2,0,0,6,0,40,0,0,18,0,0,0,0,22,0,3,28,20,0,591,0,9,0,50,0,0,0,0
B,108,0,0,0,0,59,0,0,5,0,86,0,0,0,37,0,66,85,158,0,0,109,0,49,1,3,0,0
C,29,0,0,0,93,24,118,0,15,0,0,0,0,13,108,0,54,19,10,0,3,0,0,1,2,0,1,246
D,176,0,0,0,4,55,0,0,13,0,97,0,0,5,0,0,46,36,138,1,0,151,0,77,5,0,1,0
E,35,0,0,0,72,27,42,1,0,0,79,0,0,0,94,0,58,60,32,0,0,68,0,0,0,28,0,172
F,0,0,0,0,23,22,8,0,7,0,10,0,0,11,0,7,44,36,1,0,217,47,0,0,111,0,231,0
G,134,0,0,0,28,36,35,0,17,0,0,0,0,3,109,0,72,49,158,3,0,5,1,35,1,6,0,81
H,56,0,0,0,51,47,29,0,20,0,59,158,33,14,5,14,45,29,69,3,0,64,0,38,0,0,0,0
I,1,0,0,0,6,34,0,287,0,0,153,0,0,0,13,0,27,15,5,1,0,56,0,139,8,4,0,6
J,21,0,0,209,13,12,5,151,1,0,166,0,0,1,0,0,45,21,5,1,0,44,0,26,26,0,0,0
K,20,0,0,0,112,45,69,0,19,0,36,0,8,2,57,18,32,50,28,1,0,73,128,25,0,0,0,16
L,15,0,0,2,7,46,0,145,0,332,82,0,0,0,0,0,41,29,21,14,0,24,1,0,0,0,0,2
M,2,0,0,0,5,20,10,0,215,0,1,158,48,202,0,36,13,21,0,23,0,15,0,23,0,0,0,0
N,54,6,0,0,5,16,4,0,36,0,16,171,40,173,0,111,26,3,8,0,6,57,0,50,0,0,1,0
O,294,0,0,0,4,31,1,0,33,0,0,0,0,9,0,5,7,3,213,5,0,12,0,133,3,0,0,0
P,16,0,0,0,3,41,0,1,27,0,12,0,0,3,0,1,39,32,12,0,9,39,0,31,353,0,184,0
Q,128,0,1,0,0,53,0,0,9,0,0,0,0,0,0,1,117,104,185,8,0,37,3,135,0,2,0,0
R,77,0,0,0,1,62,0,0,28,0,58,0,0,2,3,0,61,37,75,0,0,116,152,86,0,0,0,0
S,28,0,0,0,58,50,14,1,0,0,77,0,0,0,72,0,62,53,53,16,2,102,0,0,5,155,0,0
T,22,108,237,0,61,12,0,0,1,0,0,0,0,1,0,1,36,34,11,0,148,1,0,0,11,5,107,0
U,80,20,5,0,108,16,196,0,42,0,0,167,39,32,0,31,12,4,24,0,14,0,0,23,0,0,0,0
V,0,158,259,0,0,0,0,0,22,0,0,0,0,10,0,96,29,16,0,0,153,0,0,0,10,0,11,0
W,1,108,0,0,0,0,0,0,85,0,0,0,0,254,0,266,7,5,1,0,18,0,0,7,0,0,0,0
X,36,0,0,0,102,28,36,9,0,0,61,0,0,0,76,1,70,55,114,0,0,70,0,45,0,84,0,0
Y,4,132,213,0,36,7,1,0,12,0,0,0,0,3,0,29,76,52,0,0,152,1,0,0,9,0,59,0
Z,0,0,0,0,60,21,7,0,0,0,85,0,0,0,109,0,38,42,4,7,0,74,0,0,2,285,0,0
